------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 05:51AM on August 19, 2022
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.973244410589292e+24 34216026218.044174 26623910437.00864 9.818634933837371
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.208751859010017 6.152341551250569 1.88993805916064 -0.25281039086602725 -2.6824947170971263 8.041777290864731
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
   1959   -0.1825057842   -0.1185078676 -1939.8808611921   -6.2056113069    1.8898090084   -2.6783896751
   1960   -0.1821471316   -0.1182967615 -1940.9162744399   -6.2056129092    1.8898090743   -2.6783917695
   1961   -0.1817891482   -0.1180859915 -1941.9516270665   -6.2056145099    1.8898091400   -2.6783938618
   1962   -0.1814318328   -0.1178755573 -1942.9869191603   -6.2056161090    1.8898092058   -2.6783959519
   1963   -0.1810751842   -0.1176654584 -1944.0221508100   -6.2056177064    1.8898092714   -2.6783980399
   1964   -0.1807192014   -0.1174556944 -1945.0573221048   -6.2056193022    1.8898093370   -2.6784001258
   1965   -0.1803638832   -0.1172462650 -1946.0924331328   -6.2056208964    1.8898094025   -2.6784022096
   1966   -0.1800092284   -0.1170371697 -1947.1274839823   -6.2056224889    1.8898094679   -2.6784042912
   1967   -0.1796552361   -0.1168284080 -1948.1624747422   -6.2056240799    1.8898095333   -2.6784063707
   1968   -0.1793019050   -0.1166199797 -1949.1974055004   -6.2056256692    1.8898095986   -2.6784084481
   1969   -0.1789492341   -0.1164118842 -1950.2322763453   -6.2056272569    1.8898096638   -2.6784105235
   1970   -0.1785972221   -0.1162041212 -1951.2670873651   -6.2056288430    1.8898097290   -2.6784125966
   1971   -0.1782458681   -0.1159966903 -1952.3018386476   -6.2056304275    1.8898097941   -2.6784146677
   1972   -0.1778951708   -0.1157895911 -1953.3365302811   -6.2056320104    1.8898098592   -2.6784167367
   1973   -0.1775451293   -0.1155828231 -1954.3711623531   -6.2056335916    1.8898099241   -2.6784188036
   1974   -0.1771957423   -0.1153763860 -1955.4057349518   -6.2056351713    1.8898099891   -2.6784208684
   1975   -0.1768470087   -0.1151702793 -1956.4402481648   -6.2056367494    1.8898100539   -2.6784229311
   1976   -0.1764989275   -0.1149645026 -1957.4747020797   -6.2056383258    1.8898101187   -2.6784249917
   1977   -0.1761514975   -0.1147590556 -1958.5090967841   -6.2056399007    1.8898101834   -2.6784270503
   1978   -0.1758047177   -0.1145539378 -1959.5434323654   -6.2056414740    1.8898102480   -2.6784291067
   1979   -0.1754585869   -0.1143491488 -1960.5777089112   -6.2056430457    1.8898103126   -2.6784311611
   1980   -0.1751131040   -0.1141446883 -1961.6119265086   -6.2056446158    1.8898103771   -2.6784332134
   1981   -0.1747682679   -0.1139405557 -1962.6460852449   -6.2056461843    1.8898104416   -2.6784352636
   1982   -0.1744240776   -0.1137367507 -1963.6801852073   -6.2056477513    1.8898105060   -2.6784373118
   1983   -0.1740805319   -0.1135332729 -1964.7142264828   -6.2056493166    1.8898105703   -2.6784393579
   1984   -0.1737376297   -0.1133301219 -1965.7482091584   -6.2056508804    1.8898106346   -2.6784414019
   1985   -0.1733953699   -0.1131272973 -1966.7821333210   -6.2056524426    1.8898106988   -2.6784434439
   1986   -0.1730537515   -0.1129247986 -1967.8159990575   -6.2056540032    1.8898107629   -2.6784454838
   1987   -0.1727127733   -0.1127226255 -1968.8498064545   -6.2056555623    1.8898108270   -2.6784475217
   1988   -0.1723724343   -0.1125207776 -1969.8835555986   -6.2056571198    1.8898108910   -2.6784495575
   1989   -0.1720327334   -0.1123192544 -1970.9172465766   -6.2056586757    1.8898109549   -2.6784515913
   1990   -0.1716936694   -0.1121180556 -1971.9508794748   -6.2056602301    1.8898110188   -2.6784536230
   1991   -0.1713552414   -0.1119171807 -1972.9844543797   -6.2056617829    1.8898110826   -2.6784556527
   1992   -0.1710174481   -0.1117166293 -1974.0179713775   -6.2056633341    1.8898111463   -2.6784576803
   1993   -0.1706802886   -0.1115164011 -1975.0514305545   -6.2056648838    1.8898112100   -2.6784597059
   1994   -0.1703437617   -0.1113164956 -1976.0848319969   -6.2056664320    1.8898112736   -2.6784617295
   1995   -0.1700078664   -0.1111169124 -1977.1181757906   -6.2056679785    1.8898113372   -2.6784637510
   1996   -0.1696726015   -0.1109176511 -1978.1514620218   -6.2056695236    1.8898114006   -2.6784657706
   1997   -0.1693379661   -0.1107187113 -1979.1846907760   -6.2056710670    1.8898114641   -2.6784677881
   1998   -0.1690039590   -0.1105200926 -1980.2178621394   -6.2056726090    1.8898115274   -2.6784698035
   1999   -0.1686705791   -0.1103217947 -1981.2509761976   -6.2056741494    1.8898115907   -2.6784718170
   2000   -0.1683378254   -0.1101238170 -1982.2840330363   -6.2056756882    1.8898116540   -2.6784738285
   2001   -0.1680056968   -0.1099261592 -1983.3170327408   -6.2056772256    1.8898117171   -2.6784758379
   2002   -0.1676741923   -0.1097288208 -1984.3499753967   -6.2056787613    1.8898117802   -2.6784778453
   2003   -0.1673433107   -0.1095318016 -1985.3828610896   -6.2056802956    1.8898118433   -2.6784798508
   2004   -0.1670130511   -0.1093351010 -1986.4156899046   -6.2056818283    1.8898119063   -2.6784818542
   2005   -0.1666834122   -0.1091387187 -1987.4484619268   -6.2056833595    1.8898119692   -2.6784838556
   2006   -0.1663543932   -0.1089426542 -1988.4811772415   -6.2056848891    1.8898120320   -2.6784858550
   2007   -0.1660259928   -0.1087469072 -1989.5138359338   -6.2056864173    1.8898120948   -2.6784878525
   2008   -0.1656982101   -0.1085514773 -1990.5464380886   -6.2056879439    1.8898121576   -2.6784898479
   2009   -0.1653710440   -0.1083563640 -1991.5789837905   -6.2056894690    1.8898122202   -2.6784918414
   2010   -0.1650444934   -0.1081615670 -1992.6114731246   -6.2056909926    1.8898122828   -2.6784938329
   2011   -0.1647185572   -0.1079670858 -1993.6439061754   -6.2056925146    1.8898123454   -2.6784958224
